SALON,Address,City,ST,Zip,DSC,Six Month Sale
2 DYE 4 SALON LLC,1013 MAIN ST,WOODWARD,OK,73801,Pam,44.36
20\20 OIL & GAS,115 S MAIN,HENNESSEY,OK,73742,Michael,263.39
210 SALON @ BRIXTON,7101 NW EXPRESSWAY ,OKLAHOMA CITY,OK,73132,Michael,5038.03
2ND AVENUE SPA & SALON,107 S 2ND ST,GUTHRIE,OK,73044,Michael,1402.57
33RD STREET SALON,3212 S BLVD,EDMOND,OK,73013,Michael,2779.75
50 PENN PLACE HAIR DESIGN,50 PENN PLACE,OKLAHOMA CITY,OK,73118,Michael,132.13
8TH STREET SALON,721 S OKLAHOMA ST,CHEROKEE,OK,73728,Pam,110.69
A BEAUTY SHOP,RT 2 BOX 23,SEILING,OK,73663,Pam,373.7
A CUT ABOVE,413 N 7TH ST,PERRY,OK,73077,Michael,0
A CUT ABOVE,709 MAIN ST,WOODWARD,OK,73801,Pam,460.14
A CUT FROM ABOVE,1005 N FLOOD,NORMAN,OK,73069,Vicki,0
A HAIRY SITUATION,28 W MACARTHUR,SHAWNEE,OK,74084,Vicki,0
A MINT PARLOUR,820 W 4TH ST ,STILLWATER,OK,74074,Michael,416.84
A NEW REFLECTION,232 W MAIN,MOORE,OK,73160,Vicki,0
A NEW YOU,8819 S SANTA FE,OKLAHOMA CITY,OK,73139,Vicki,1.49
A QUAINT SALON,1716 S POST RD ,MIDWEST CITY,OK,73170,Vicki,0
A TOUCH OF CLASS SALON,1220 MAIN ST,WOODWARD,OK,73801,Pam,87.21
A WILD HAIR,1413 MAIN,WOODWARD,OK,73801,Pam,0
A WILD HAIR,9212 N ROCKWELL,OKLAHOMA CITY,OK,73132,Pam,311.98
ABBY HILTERBRAND,2122 W MAPLE,ENID,OK,73703,Michael,136.09
ABOUT BEAUTY,2232 W WILLOW,ENID,OK,73703,Michael,393.5
ABOUT FACE,2232 W WILLOW,ENID,OK,73703,Michael,0
ACCENTUAL SALON & SPA,17200 N MAY AVE ,EDMOND,OK,73003,Pam,64.67
ACTION HAIR TEAM,2108 W LINDSEY,NORMAN,OK,73069,Vicki,82.27
AD SALON,1714 N VERMONT AVE,OKLAHOMA CITY,OK,73107,Michael,0
ADORABLE HAIR SALON,1115 S RANCHWOOD BLVD,YUKON,OK,73064,Pam,0
ADVANCE CUTS,11800 S MAY AVE,OKLAHOMA CITY,OK,73170,Vicki,21.95
AFFINITY,206 W RANDOLPH,ENID,OK,73701,Michael,3765.54
ALL ABOUT ATTITUDE,1139 SW 59TH,OKLAHOMA CITY,OK,73109,Pam,200.07
ALL ABOUT HAIR,1911 S SUNNYLANE  ,DEL CITY,OK,73115,Vicki,65
ALL ABOUT HAIR,2117 W OWEN K GARRIOTT RD,ENID,OK,73703,Michael,0
ALL ABOUT YOU SALON & SPA,7 NW 6TH ST,LAWTON,OK,73507,Vicki,1617.55
ALL AMERICAN HAIR,444 W STATE HIGHWAY 152,MUSTANG,OK,73064,Pam,28.44
ALL FOR HAIR,1119 SW 59TH,OKLAHOMA CITY,OK,73109,Pam,184.61
ALLEY CATS,3801 NW 63RD BLDG 3 ,OKLAHOMA CITY,OK,73116,Michael,2953.5
ALLURE SALON,1401 S DOUGLAS BLVD ,MIDWEST CITY,OK,73130,Vicki,1164.05
ALMOST HEAVEN,224 S MAIN ST,BLANCHARD,OK,73010,Vicki,336.11
ALOHA HAIR SALON,525 E HWY 152,MUSTANG,OK,73764,Pam,460.91
ALUSTRA SALON,5808 NE 63RD,OKLAHOMA CITY,OK,73132,Michael,36.29
AMANDA MARTIN,2524 CRESTWOOD,ENID,OK,73701,Michael,0
AMANDA SUMPTER,311 S NEW BETHEL BLVD,ADA,OK,74820,Vicki,160.83
AMAZING CUTS,845 NW 12,MOORE,OK,73160,Vicki,129.74
AMOR HAIR SALON,3200 SW 86TH ST,OKLAHOMA CITY,OK,73159,Pam,2970.5
AN ELEGANT TOUCH HAIR & NAIL SALON,6600 N MERIDAN ,OKLAHOMA CITY,OK,73116,Michael,1200.71
ANA'S,3021 SW 39TH,OKLAHOMA CITY,OK,73119,Pam,1487.32
ANA'S BEAUTY SALON,4904 NW 23RD,OKLAHOMA CITY,OK,73127,Pam,684.07
ANDREA JALAFF,1721 BRITTANY LN,EDMOND,OK,73003,Pam,9.36
ANDREA NELSON,118 NE 9TH ST,MOORE,OK,73160,Vicki,18.61
ANGELITA AND COMPANY,224 N MAIN,KINGFISHER,OK,73750,Michael,5763.75
